Rocket launchedPollingTask Timing | elapsed=0 ms dt=0 ms rate=0 Hz
Log data polledPollingTask Timing | elapsed=17 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=34 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=51 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=68 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=85 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=102 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=119 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=136 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=153 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=170 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=187 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=204 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=221 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=238 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=255 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=272 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=289 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=306 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=323 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=340 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=357 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=374 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=391 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=408 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=425 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=442 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=459 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=476 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=493 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=510 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=527 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=544 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=561 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=578 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=595 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=612 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=629 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=646 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=663 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=680 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=697 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=714 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=731 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=748 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=765 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=782 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=799 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=816 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=833 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=850 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=867 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=884 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=901 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=918 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=935 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=952 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=969 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=986 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1003 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1020 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1037 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1054 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1071 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1088 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1105 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1122 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1139 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1156 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1173 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1190 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1207 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1224 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1241 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1258 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1275 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1292 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1309 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1326 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1343 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1360 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1377 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1394 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1411 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1428 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1445 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1462 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1479 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1496 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1513 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1530 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1547 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1564 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1581 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1598 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1615 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1632 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1649 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1666 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1683 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1700 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1717 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1734 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1751 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1768 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1785 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1802 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1819 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1836 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1853 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1870 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1887 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1904 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1921 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1938 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1955 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1972 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=1989 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2006 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2023 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2040 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2057 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2074 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2091 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2108 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2125 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2142 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2159 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2176 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2193 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2210 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2227 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2244 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2261 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2278 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2295 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2312 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2329 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2346 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2363 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2380 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2397 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2414 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2431 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2448 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2465 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2482 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2499 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2516 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2533 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2550 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2567 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2584 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2601 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2618 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2635 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2652 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2669 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2686 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2703 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2720 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2737 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2754 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2771 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2788 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2805 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2822 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2839 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2856 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2873 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2890 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2907 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2924 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2941 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2958 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2975 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=2992 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3009 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3026 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3043 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3060 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3077 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3094 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3111 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3128 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3145 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3162 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3179 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3196 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3213 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3230 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3247 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3264 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3281 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3298 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3315 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3332 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3349 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3366 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3383 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3400 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3417 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3434 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3451 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3468 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3485 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3502 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3519 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3536 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3553 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3570 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3587 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3604 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3621 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3638 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3655 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3672 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3689 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3706 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3723 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3740 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3757 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3774 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3791 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3808 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3825 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3842 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3859 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3876 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3893 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3910 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3927 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3944 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3961 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3978 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=3995 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4012 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4029 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4046 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4063 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4080 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4097 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4114 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4131 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4148 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4165 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4182 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4199 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4216 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4233 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4250 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4267 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4284 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4301 ms dt=17 ms rate=58 Hz
Log data polledPollingTask Timing | elapsed=4318 ms dt=17 ms rate=58 Hz
